Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_B04001_001,SE_B04001_002,SE_B04001_003,SE_B04001_004,SE_B04001_005,SE_B04001_006,SE_B04001_007,SE_B04001_008,SE_B04001_009,SE_B04001_010
"01001","05000US01001","Autauga County","Autauga County, Alabama","al","050","00","ACSSF","0000013",,,,,"01","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55200,53672,41412,10475,159,568,5,41,1012,1528
"01003","05000US01003","Baldwin County","Baldwin County, Alabama","al","050","00","ACSSF","0000014",,,,,"01","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208107,198754,172768,19529,1398,1668,9,410,2972,9353
"01005","05000US01005","Barbour County","Barbour County, Alabama","al","050","00","ACSSF","0000015",,,,,"01","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25782,24676,11898,12199,63,85,1,86,344,1106
"01007","05000US01007","Bibb County","Bibb County, Alabama","al","050","00","ACSSF","0000016",,,,,"01","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22527,21980,16801,4974,8,37,0,0,160,547
"01009","05000US01009","Blount County","Blount County, Alabama","al","050","00","ACSSF","0000017",,,,,"01","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57645,52384,50232,820,124,198,18,174,818,5261
"01011","05000US01011","Bullock County","Bullock County, Alabama","al","050","00","ACSSF","0000018",,,,,"01","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10352,10301,2228,7893,122,56,0,2,0,51
"01013","05000US01013","Butler County","Butler County, Alabama","al","050","00","ACSSF","0000019",,,,,"01","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20025,19958,10384,9027,2,231,0,0,314,67
"01015","05000US01015","Calhoun County","Calhoun County, Alabama","al","050","00","ACSSF","0000020",,,,,"01","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115098,110895,83423,23618,227,1065,9,38,2515,4203
"01017","05000US01017","Chambers County","Chambers County, Alabama","al","050","00","ACSSF","0000021",,,,,"01","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33826,33058,18872,13319,97,405,0,18,347,768
"01019","05000US01019","Cherokee County","Cherokee County, Alabama","al","050","00","ACSSF","0000022",,,,,"01","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25853,25455,23730,1267,236,42,0,0,180,398
"01021","05000US01021","Chilton County","Chilton County, Alabama","al","050","00","ACSSF","0000023",,,,,"01","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43930,40514,35205,4112,39,190,0,80,888,3416
"01023","05000US01023","Choctaw County","Choctaw County, Alabama","al","050","00","ACSSF","0000024",,,,,"01","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13075,13002,7370,5570,9,13,0,5,35,73
"01025","05000US01025","Clarke County","Clarke County, Alabama","al","050","00","ACSSF","0000025",,,,,"01","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24387,24339,12895,11173,25,123,0,0,123,48
"01027","05000US01027","Clay County","Clay County, Alabama","al","050","00","ACSSF","0000026",,,,,"01","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13378,12963,10740,1971,119,18,0,26,89,415
"01029","05000US01029","Cleburne County","Cleburne County, Alabama","al","050","00","ACSSF","0000027",,,,,"01","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14938,14576,13839,393,39,3,0,11,291,362
"01031","05000US01031","Coffee County","Coffee County, Alabama","al","050","00","ACSSF","0000028",,,,,"01","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51288,47739,36223,8746,581,666,0,41,1482,3549
"01033","05000US01033","Colbert County","Colbert County, Alabama","al","050","00","ACSSF","0000029",,,,,"01","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54495,53146,42865,8561,367,244,29,18,1062,1349
"01035","05000US01035","Conecuh County","Conecuh County, Alabama","al","050","00","ACSSF","0000030",,,,,"01","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12514,12409,6274,5961,56,18,0,2,98,105
"01037","05000US01037","Coosa County","Coosa County, Alabama","al","050","00","ACSSF","0000031",,,,,"01","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10855,10805,7084,3713,8,0,0,0,0,50
"01039","05000US01039","Covington County","Covington County, Alabama","al","050","00","ACSSF","0000032",,,,,"01","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37351,36747,31146,4790,58,144,13,0,596,604
"01041","05000US01041","Crenshaw County","Crenshaw County, Alabama","al","050","00","ACSSF","0000033",,,,,"01","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13865,13590,9869,3147,106,188,0,0,280,275
"01043","05000US01043","Cullman County","Cullman County, Alabama","al","050","00","ACSSF","0000034",,,,,"01","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82313,78770,75826,954,348,334,0,9,1299,3543
"01045","05000US01045","Dale County","Dale County, Alabama","al","050","00","ACSSF","0000035",,,,,"01","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49255,46185,34005,9611,300,533,4,244,1488,3070
"01047","05000US01047","Dallas County","Dallas County, Alabama","al","050","00","ACSSF","0000036",,,,,"01","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40029,39617,11024,28119,10,224,4,0,236,412
"01049","05000US01049","DeKalb County","DeKalb County, Alabama","al","050","00","ACSSF","0000037",,,,,"01","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71200,60980,57441,979,910,140,99,11,1400,10220
"01051","05000US01051","Elmore County","Elmore County, Alabama","al","050","00","ACSSF","0000038",,,,,"01","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81212,78865,59471,17148,186,392,0,197,1471,2347
"01053","05000US01053","Escambia County","Escambia County, Alabama","al","050","00","ACSSF","0000039",,,,,"01","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37328,36490,22480,11912,1435,135,72,39,417,838
"01055","05000US01055","Etowah County","Etowah County, Alabama","al","050","00","ACSSF","0000040",,,,,"01","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102939,99059,80374,15816,424,739,66,80,1560,3880
"01057","05000US01057","Fayette County","Fayette County, Alabama","al","050","00","ACSSF","0000041",,,,,"01","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16585,16300,14042,1858,0,108,6,0,286,285
"01059","05000US01059","Franklin County","Franklin County, Alabama","al","050","00","ACSSF","0000042",,,,,"01","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31542,26209,24313,1338,159,119,0,17,263,5333
"01061","05000US01061","Geneva County","Geneva County, Alabama","al","050","00","ACSSF","0000043",,,,,"01","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26491,25464,22235,2468,191,109,4,0,457,1027
"01063","05000US01063","Greene County","Greene County, Alabama","al","050","00","ACSSF","0000044",,,,,"01","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8426,8283,1445,6707,48,0,0,0,83,143
"01065","05000US01065","Hale County","Hale County, Alabama","al","050","00","ACSSF","0000045",,,,,"01","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14887,14757,5898,8743,29,39,0,16,32,130
"01067","05000US01067","Henry County","Henry County, Alabama","al","050","00","ACSSF","0000046",,,,,"01","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17124,16676,11805,4727,4,0,0,0,140,448
"01069","05000US01069","Houston County","Houston County, Alabama","al","050","00","ACSSF","0000047",,,,,"01","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104352,100915,69826,27887,277,848,13,75,1989,3437
"01071","05000US01071","Jackson County","Jackson County, Alabama","al","050","00","ACSSF","0000048",,,,,"01","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52094,50589,46537,1799,545,215,77,50,1366,1505
"01073","05000US01073","Jefferson County","Jefferson County, Alabama","al","050","00","ACSSF","0000049",,,,,"01","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659892,634844,330862,280748,1265,10169,206,1465,10129,25048
"01075","05000US01075","Lamar County","Lamar County, Alabama","al","050","00","ACSSF","0000050",,,,,"01","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13933,13715,11981,1558,0,0,0,107,69,218
"01077","05000US01077","Lauderdale County","Lauderdale County, Alabama","al","050","00","ACSSF","0000051",,,,,"01","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92585,90173,78501,9183,417,612,61,109,1290,2412
"01079","05000US01079","Lawrence County","Lawrence County, Alabama","al","050","00","ACSSF","0000052",,,,,"01","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33171,32464,25390,3615,1878,44,24,0,1513,707
"01081","05000US01081","Lee County","Lee County, Alabama","al","050","00","ACSSF","0000053",,,,,"01","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159287,153422,107395,36389,226,6475,0,295,2642,5865
"01083","05000US01083","Limestone County","Limestone County, Alabama","al","050","00","ACSSF","0000054",,,,,"01","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93052,87573,71554,12405,821,1163,0,1,1629,5479
"01085","05000US01085","Lowndes County","Lowndes County, Alabama","al","050","00","ACSSF","0000055",,,,,"01","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10236,10166,2505,7586,13,0,0,0,62,70
"01087","05000US01087","Macon County","Macon County, Alabama","al","050","00","ACSSF","0000056",,,,,"01","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19054,18726,2972,15583,43,50,0,9,69,328
"01089","05000US01089","Madison County","Madison County, Alabama","al","050","00","ACSSF","0000057",,,,,"01","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357560,340266,232115,85293,1847,8992,307,1066,10646,17294
"01091","05000US01091","Marengo County","Marengo County, Alabama","al","050","00","ACSSF","0000058",,,,,"01","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19538,19423,8791,10518,51,0,0,7,56,115
"01093","05000US01093","Marion County","Marion County, Alabama","al","050","00","ACSSF","0000059",,,,,"01","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29965,29213,27559,1047,122,49,0,0,436,752
"01095","05000US01095","Marshall County","Marshall County, Alabama","al","050","00","ACSSF","0000060",,,,,"01","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95145,82184,77297,2456,334,570,46,90,1391,12961
"01097","05000US01097","Mobile County","Mobile County, Alabama","al","050","00","ACSSF","0000061",,,,,"01","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414659,402686,236987,146600,2872,8117,62,1315,6733,11973
"01099","05000US01099","Monroe County","Monroe County, Alabama","al","050","00","ACSSF","0000062",,,,,"01","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21512,21210,11689,8774,346,120,0,0,281,302
